timestamp(unix),attitude_roll(radians),attitude_pitch(radians),attitude_yaw(radians),rotation_rate_x(radians/s),rotation_rate_y(radians/s),rotation_rate_z(radians/s),gravity_x(G),gravity_y(G),gravity_z(G),user_acc_x(G),user_acc_y(G),user_acc_z(G),magnetic_field_x(microteslas),magnetic_field_y(microteslas),magnetic_field_z(microteslas),latitude(degree),longitude(degree),altitude(meter),speed(m/s),course(degree),timestamp(unix),User Mark
1532483314,-0.018994,0.037198,1.926914,0.820498,0.700308,0.976413,-0.01898,-0.037189,-0.999128,0.198332,0.076999,0.120481,-8.073425,-19.881958,-46.098267,,,,,,,
1532483314,-0.008098,0.055363,1.94391,1.018919,0.578479,0.725651,-0.008085,-0.055335,-0.998435,0.117994,0.006827,0.192405,-7.801208,-20.572388,-45.885559,,,,,,,
1532483315,0.004539,0.078103,1.95502,1.19461,0.715991,0.482207,0.004525,-0.078024,-0.996941,0.081,0.010443,0.282616,-7.327637,-21.446991,-45.54071,,,,,,,
1532483315,0.018942,0.101115,1.963407,1.092419,0.803318,0.417071,0.018844,-0.100943,-0.994714,0.115617,0.072684,0.31173,-7.19043,-22.084686,-45.10614,,,,,,,
1532483315,0.037579,0.120144,1.971972,0.85324,1.149157,0.495787,0.037299,-0.119855,-0.99209,0.128091,0.089383,0.342798,-6.904358,-23.131714,-44.654236,,,,,,,
1532483315,0.065651,0.134963,1.983315,0.628981,1.666741,0.683158,0.065007,-0.134554,-0.988771,0.091929,0.061739,0.385363,-5.923767,-24.210632,-44.513855,,,,,,,
1532483315,0.103232,0.145591,1.999834,0.341146,2.199698,0.970714,0.101959,-0.145078,-0.984153,0.05983,0.074353,0.312003,-4.856262,-24.648071,-44.497925,,,,,,,
1532483315,0.14795,0.150526,2.022486,-0.025913,2.488108,1.235502,0.145744,-0.149958,-0.977891,0.096474,0.112834,0.211045,-3.713135,-24.865265,-44.305786,,,,,,,
1532483315,0.194922,0.151223,2.049953,-0.289843,2.630451,1.397971,0.191479,-0.150647,-0.969866,0.057452,0.169309,0.199603,-2.012085,-25.032745,-44.320251,,,,,,,
1532483315,0.246016,0.150418,2.078987,-0.375984,2.914274,1.377745,0.240792,-0.149852,-0.958938,-0.017251,0.162654,0.276672,-0.434448,-24.851715,-44.515747,,,,,,,
